word,vector
"рейсы
",[18.  6. 11. 19. 29.  0.]
"офени
",[16. 22.  6. 15. 10.  0.]
"адену
",[ 1.  5.  6. 15. 21.  0.]
"вышив
",[ 3. 29. 26. 10.  3.  0.]
"манир
",[14.  1. 15. 10. 18.  0.]
"пешим
",[17.  6. 26. 10. 14.  0.]
"икнёт
",[10. 12. 15.  7. 20.  0.]
"сакли
",[19.  1. 12. 13. 10.  0.]
"лиепа
",[13. 10.  6. 17.  1.  0.]
"лозин
",[13. 16.  9. 10. 15.  0.]
"сеней
",[19.  6. 15.  6. 11.  0.]
"толпи
",[20. 16. 13. 17. 10.  0.]
"дядин
",[ 5. 33.  5. 10. 15.  0.]
"буяны
",[ 2. 21. 33. 15. 29.  0.]
"впряг
",[ 3. 17. 18. 33.  4.  0.]
"вжала
",[ 3.  8.  1. 13.  1.  0.]
"годке
",[ 4. 16.  5. 12.  6.  0.]
"иксам
",[10. 12. 19.  1. 14.  0.]
"удину
",[21.  5. 10. 15. 21.  0.]
"криль
",[12. 18. 10. 13. 28.  0.]
"савка
",[19.  1.  3. 12.  1.  0.]
"утряс
",[21. 20. 18. 33. 19.  0.]
"мишей
",[14. 10. 26.  6. 11.  0.]
"чивая
",[25. 10.  3.  1. 33.  0.]
"ендит
",[ 6. 15.  5. 10. 20.  0.]
"пруша
",[17. 18. 21. 26.  1.  0.]
"вякни
",[ 3. 33. 12. 15. 10.  0.]
"шельм
",[26.  6. 13. 28. 14.  0.]
"окном
",[16. 12. 15. 16. 14.  0.]
"пхнут
",[17. 23. 15. 21. 20.  0.]
"алены
",[ 1. 13.  6. 15. 29.  0.]
"узнай
",[21.  9. 15.  1. 11.  0.]
"испей
",[10. 19. 17.  6. 11.  0.]
"яйцом
",[33. 11. 24. 16. 14.  0.]
"тадей
",[20.  1.  5.  6. 11.  0.]
"эпюры
",[31. 17. 32. 18. 29.  0.]
"рощиц
",[18. 16. 27. 10. 24.  0.]
"тушка
",[20. 21. 26. 12.  1.  0.]
"кушах
",[12. 21. 26.  1. 23.  0.]
"балде
",[ 2.  1. 13.  5.  6.  0.]
"дынек
",[ 5. 29. 15.  6. 12.  0.]
"купал
",[12. 21. 17.  1. 13.  0.]
