word,vector
"жнеям
",[ 8. 15.  6. 33. 14.  0.]
"зануд
",[ 9.  1. 15. 21.  5.  0.]
"рыску
",[18. 29. 19. 12. 21.  0.]
"калий
",[12.  1. 13. 10. 11.  0.]
"сроко
",[19. 18. 16. 12. 16.  0.]
"репах
",[18.  6. 17.  1. 23.  0.]
"аллен
",[ 1. 13. 13.  6. 15.  0.]
"футам
",[22. 21. 20.  1. 14.  0.]
"срубу
",[19. 18. 21.  2. 21.  0.]
"персе
",[17.  6. 18. 19.  6.  0.]
"темью
",[20.  6. 14. 28. 32.  0.]
"шарап
",[26.  1. 18.  1. 17.  0.]
"едкою
",[ 6.  5. 12. 16. 32.  0.]
"укрой
",[21. 12. 18. 16. 11.  0.]
"юльки
",[32. 13. 28. 12. 10.  0.]
"чекою
",[25.  6. 12. 16. 32.  0.]
"ругня
",[18. 21.  4. 15. 33.  0.]
"утках
",[21. 20. 12.  1. 23.  0.]
"угощу
",[21.  4. 16. 27. 21.  0.]
"щипай
",[27. 10. 17.  1. 11.  0.]
"олифа
",[16. 13. 10. 22.  1.  0.]
"виолы
",[ 3. 10. 16. 13. 29.  0.]
"допою
",[ 5. 16. 17. 16. 32.  0.]
"свинь
",[19.  3. 10. 15. 28.  0.]
"степь
",[19. 20.  6. 17. 28.  0.]
"лаком
",[13.  1. 12. 16. 14.  0.]
"окунь
",[16. 12. 21. 15. 28.  0.]
"сипим
",[19. 10. 17. 10. 14.  0.]
"хамят
",[23.  1. 14. 33. 20.  0.]
"ярцев
",[33. 18. 24.  6.  3.  0.]
"цемен
",[24.  6. 14.  6. 15.  0.]
"шелеп
",[26.  6. 13.  6. 17.  0.]
"икрах
",[10. 12. 18.  1. 23.  0.]
"айкал
",[ 1. 11. 12.  1. 13.  0.]
"давим
",[ 5.  1.  3. 10. 14.  0.]
"засве
",[ 9.  1. 19.  3.  6.  0.]
"тлеть
",[20. 13.  6. 20. 28.  0.]
"мамен
",[14.  1. 14.  6. 15.  0.]
"бегай
",[ 2.  6.  4.  1. 11.  0.]
"испов
",[10. 19. 17. 16.  3.  0.]
"шкоды
",[26. 12. 16.  5. 29.  0.]
"сбоем
",[19.  2. 16.  6. 14.  0.]
"сырею
",[19. 29. 18.  6. 32.  0.]
"цинаш
",[24. 10. 15.  1. 26.  0.]
"свища
",[19.  3. 10. 27.  1.  0.]
"милях
",[14. 10. 13. 33. 23.  0.]
"духах
",[ 5. 21. 23.  1. 23.  0.]
"препо
",[17. 18.  6. 17. 16.  0.]
"птахи
",[17. 20.  1. 23. 10.  0.]
"шутов
",[26. 21. 20. 16.  3.  0.]
"потел
",[17. 16. 20.  6. 13.  0.]
"димин
",[ 5. 10. 14. 10. 15.  0.]
"бёдра
",[ 2.  7.  5. 18.  1.  0.]
"диною
",[ 5. 10. 15. 16. 32.  0.]
"соням
",[19. 16. 15. 33. 14.  0.]
"омега
",[16. 14.  6.  4.  1.  0.]
"склиз
",[19. 12. 13. 10.  9.  0.]
"емели
",[ 6. 14.  6. 13. 10.  0.]
"мятым
",[14. 33. 20. 29. 14.  0.]
"нарду
",[15.  1. 18.  5. 21.  0.]
"зэков
",[ 9. 31. 12. 16.  3.  0.]
"бичуя
",[ 2. 10. 25. 21. 33.  0.]
"вмажу
",[ 3. 14.  1.  8. 21.  0.]
"венде
",[ 3.  6. 15.  5.  6.  0.]
"везёт
",[ 3.  6.  9.  7. 20.  0.]
"вышку
",[ 3. 29. 26. 12. 21.  0.]
"киску
",[12. 10. 19. 12. 21.  0.]
"эльбу
",[31. 13. 28.  2. 21.  0.]
"акыну
",[ 1. 12. 29. 15. 21.  0.]
"навык
",[15.  1.  3. 29. 12.  0.]
"туфте
",[20. 21. 22. 20.  6.  0.]
"мурою
",[14. 21. 18. 16. 32.  0.]
"шпика
",[26. 17. 10. 12.  1.  0.]
"дашки
",[ 5.  1. 26. 12. 10.  0.]
"физии
",[22. 10.  9. 10. 10.  0.]
"живог
",[ 8. 10.  3. 16.  4.  0.]
"кашин
",[12.  1. 26. 10. 15.  0.]
"сонеч
",[19. 16. 15.  6. 25.  0.]
"враля
",[ 3. 18.  1. 13. 33.  0.]
"иерей
",[10.  6. 18.  6. 11.  0.]
"ванту
",[ 3.  1. 15. 20. 21.  0.]
"жадюг
",[ 8.  1.  5. 32.  4.  0.]
"луцку
",[13. 21. 24. 12. 21.  0.]
"червю
",[25.  6. 18.  3. 32.  0.]
"щадит
",[27.  1.  5. 10. 20.  0.]
"коржи
",[12. 16. 18.  8. 10.  0.]
"пляса
",[17. 13. 33. 19.  1.  0.]
"лелее
",[13.  6. 13.  6.  6.  0.]
"потею
",[17. 16. 20.  6. 32.  0.]
"ныряю
",[15. 29. 18. 33. 32.  0.]
"втуне
",[ 3. 20. 21. 15.  6.  0.]
"граве
",[ 4. 18.  1.  3.  6.  0.]
"шудра
",[26. 21.  5. 18.  1.  0.]
"дачку
",[ 5.  1. 25. 12. 21.  0.]
"клавы
",[12. 13.  1.  3. 29.  0.]
"самоё
",[19.  1. 14. 16.  7.  0.]
"монот
",[14. 16. 15. 16. 20.  0.]
"ветку
",[ 3.  6. 20. 12. 21.  0.]
"бурея
",[ 2. 21. 18.  6. 33.  0.]
"хорям
",[23. 16. 18. 33. 14.  0.]
"косве
",[12. 16. 19.  3.  6.  0.]
"толок
",[20. 16. 13. 16. 12.  0.]
"йорку
",[11. 16. 18. 12. 21.  0.]
"назыв
",[15.  1.  9. 29.  3.  0.]
"вошек
",[ 3. 16. 26.  6. 12.  0.]
"мурки
",[14. 21. 18. 12. 10.  0.]
"койке
",[12. 16. 11. 12.  6.  0.]
"жерди
",[ 8.  6. 18.  5. 10.  0.]
"маяча
",[14.  1. 33. 25.  1.  0.]
"лозою
",[13. 16.  9. 16. 32.  0.]
"тряся
",[20. 18. 33. 19. 33.  0.]
"термы
",[20.  6. 18. 14. 29.  0.]
"азины
",[ 1.  9. 10. 15. 29.  0.]
"баран
",[ 2.  1. 18.  1. 15.  0.]
"тукая
",[20. 21. 12.  1. 33.  0.]
"сетов
",[19.  6. 20. 16.  3.  0.]
"груза
",[ 4. 18. 21.  9.  1.  0.]
"мачте
",[14.  1. 25. 20.  6.  0.]
"зыбом
",[ 9. 29.  2. 16. 14.  0.]
"сотря
",[19. 16. 20. 18. 33.  0.]
"плетя
",[17. 13.  6. 20. 33.  0.]
"бауле
",[ 2.  1. 21. 13.  6.  0.]
"жнеею
",[ 8. 15.  6.  6. 32.  0.]
"ленчи
",[13.  6. 15. 25. 10.  0.]
"объём
",[16.  2. 30.  7. 14.  0.]
"пурке
",[17. 21. 18. 12.  6.  0.]
"крипа
",[12. 18. 10. 17.  1.  0.]
"пугая
",[17. 21.  4.  1. 33.  0.]
"шарфу
",[26.  1. 18. 22. 21.  0.]
"переш
",[17.  6. 18.  6. 26.  0.]
"трефе
",[20. 18.  6. 22.  6.  0.]
"васил
",[ 3.  1. 19. 10. 13.  0.]
"макну
",[14.  1. 12. 15. 21.  0.]
"скола
",[19. 12. 16. 13.  1.  0.]
"пазов
",[17.  1.  9. 16.  3.  0.]
"иомен
",[10. 16. 14.  6. 15.  0.]
"тоста
",[20. 16. 19. 20.  1.  0.]
"плащи
",[17. 13.  1. 27. 10.  0.]
"дивна
",[ 5. 10.  3. 15.  1.  0.]
"шипах
",[26. 10. 17.  1. 23.  0.]
"пещур
",[17.  6. 27. 21. 18.  0.]
"неуче
",[15.  6. 21. 25.  6.  0.]
"давно
",[ 5.  1.  3. 15. 16.  0.]
"улусу
",[21. 13. 21. 19. 21.  0.]
"пуков
",[17. 21. 12. 16.  3.  0.]
"ограб
",[16.  4. 18.  1.  2.  0.]
"митра
",[14. 10. 20. 18.  1.  0.]
"ригам
",[18. 10.  4.  1. 14.  0.]
"тумбы
",[20. 21. 14.  2. 29.  0.]
"додан
",[ 5. 16.  5.  1. 15.  0.]
"кляча
",[12. 13. 33. 25.  1.  0.]
"помпе
",[17. 16. 14. 17.  6.  0.]
"сшила
",[19. 26. 10. 13.  1.  0.]
"аурат
",[ 1. 21. 18.  1. 20.  0.]
"левом
",[13.  6.  3. 16. 14.  0.]
"яичек
",[33. 10. 25.  6. 12.  0.]
"сухом
",[19. 21. 23. 16. 14.  0.]
"кручу
",[12. 18. 21. 25. 21.  0.]
"хилая
",[23. 10. 13.  1. 33.  0.]
"лишае
",[13. 10. 26.  1.  6.  0.]
"эйлау
",[31. 11. 13.  1. 21.  0.]
"глифа
",[ 4. 13. 10. 22.  1.  0.]
"жанры
",[ 8.  1. 15. 18. 29.  0.]
"финна
",[22. 10. 15. 15.  1.  0.]
"халат
",[23.  1. 13.  1. 20.  0.]
"орхит
",[16. 18. 23. 10. 20.  0.]
"жнеёй
",[ 8. 15.  6.  7. 11.  0.]
"фузия
",[22. 21.  9. 10. 33.  0.]
"жёнам
",[ 8.  7. 15.  1. 14.  0.]
"получ
",[17. 16. 13. 21. 25.  0.]
"табл.
",[20.  1.  2. 13. 35.  0.]
"наруж
",[15.  1. 18. 21.  8.  0.]
"стаям
",[19. 20.  1. 33. 14.  0.]
"совея
",[19. 16.  3.  6. 33.  0.]
"ухают
",[21. 23.  1. 32. 20.  0.]
"вышиб
",[ 3. 29. 26. 10.  2.  0.]
"пунша
",[17. 21. 15. 26.  1.  0.]
"барок
",[ 2.  1. 18. 16. 12.  0.]
"колой
",[12. 16. 13. 16. 11.  0.]
"марфо
",[14.  1. 18. 22. 16.  0.]
"мягки
",[14. 33.  4. 12. 10.  0.]
"венах
",[ 3.  6. 15.  1. 23.  0.]
"жуана
",[ 8. 21.  1. 15.  1.  0.]
"чехах
",[25.  6. 23.  1. 23.  0.]
"мрачн
",[14. 18.  1. 25. 15.  0.]
"канут
",[12.  1. 15. 21. 20.  0.]
"титул
",[20. 10. 20. 21. 13.  0.]
"несча
",[15.  6. 19. 25.  1.  0.]
"оазис
",[16.  1.  9. 10. 19.  0.]
"жнецы
",[ 8. 15.  6. 24. 29.  0.]
"возах
",[ 3. 16.  9.  1. 23.  0.]
"враль
",[ 3. 18.  1. 13. 28.  0.]
"ковры
",[12. 16.  3. 18. 29.  0.]
"ульях
",[21. 13. 28. 33. 23.  0.]
"плохо
",[17. 13. 16. 23. 16.  0.]
"двумя
",[ 5.  3. 21. 14. 33.  0.]
"ханам
",[23.  1. 15.  1. 14.  0.]
"цзыбо
",[24.  9. 29.  2. 16.  0.]
"путин
",[17. 21. 20. 10. 15.  0.]
"ценил
",[24.  6. 15. 10. 13.  0.]
"комар
",[12. 16. 14.  1. 18.  0.]
"скачу
",[19. 12.  1. 25. 21.  0.]
"пряхе
",[17. 18. 33. 23.  6.  0.]
"эклог
",[31. 12. 13. 16.  4.  0.]
"труби
",[20. 18. 21.  2. 10.  0.]
"байту
",[ 2.  1. 11. 20. 21.  0.]
"высши
",[ 3. 29. 19. 26. 10.  0.]
"лобно
",[13. 16.  2. 15. 16.  0.]
"нагле
",[15.  1.  4. 13.  6.  0.]
"окуня
",[16. 12. 21. 15. 33.  0.]
"ушлая
",[21. 26. 13.  1. 33.  0.]
"ойкну
",[16. 11. 12. 15. 21.  0.]
"гипса
",[ 4. 10. 17. 19.  1.  0.]
"летку
",[13.  6. 20. 12. 21.  0.]
"косою
",[12. 16. 19. 16. 32.  0.]
"уроню
",[21. 18. 16. 15. 32.  0.]
"сучью
",[19. 21. 25. 28. 32.  0.]
"билый
",[ 2. 10. 13. 29. 11.  0.]
"глушь
",[ 4. 13. 21. 26. 28.  0.]
"гуляй
",[ 4. 21. 13. 33. 11.  0.]
"уложе
",[21. 13. 16.  8.  6.  0.]
"фадею
",[22.  1.  5.  6. 32.  0.]
"молвы
",[14. 16. 13.  3. 29.  0.]
"колей
",[12. 16. 13.  6. 11.  0.]
"дырою
",[ 5. 29. 18. 16. 32.  0.]
"жорже
",[ 8. 16. 18.  8.  6.  0.]
"надях
",[15.  1.  5. 33. 23.  0.]
"огрей
",[16.  4. 18.  6. 11.  0.]
"сипая
",[19. 10. 17.  1. 33.  0.]
"мечты
",[14.  6. 25. 20. 29.  0.]
"особь
",[16. 19. 16.  2. 28.  0.]
"нашим
",[15.  1. 26. 10. 14.  0.]
"выйде
",[ 3. 29. 11.  5.  6.  0.]
"носил
",[15. 16. 19. 10. 13.  0.]
"кряжу
",[12. 18. 33.  8. 21.  0.]
"пэрах
",[17. 31. 18.  1. 23.  0.]
"ветке
",[ 3.  6. 20. 12.  6.  0.]
"срыло
",[19. 18. 29. 13. 16.  0.]
"пенсе
",[17.  6. 15. 19.  6.  0.]
"липам
",[13. 10. 17.  1. 14.  0.]
"выпер
",[ 3. 29. 17.  6. 18.  0.]
"оолит
",[16. 16. 13. 10. 20.  0.]
"линял
",[13. 10. 15. 33. 13.  0.]
"зурны
",[ 9. 21. 18. 15. 29.  0.]
"гнила
",[ 4. 15. 10. 13.  1.  0.]
"конон
",[12. 16. 15. 16. 15.  0.]
"ввысь
",[ 3.  3. 29. 19. 28.  0.]
"пушат
",[17. 21. 26.  1. 20.  0.]
"зыбче
",[ 9. 29.  2. 25.  6.  0.]
"напр.
",[15.  1. 17. 18. 35.  0.]
"начёс
",[15.  1. 25.  7. 19.  0.]
"расту
",[18.  1. 19. 20. 21.  0.]
"цокай
",[24. 16. 12.  1. 11.  0.]
"брылы
",[ 2. 18. 29. 13. 29.  0.]
"клады
",[12. 13.  1.  5. 29.  0.]
"скоса
",[19. 12. 16. 19.  1.  0.]
"крепс
",[12. 18.  6. 17. 19.  0.]
"сунжи
",[19. 21. 15.  8. 10.  0.]
"зашла
",[ 9.  1. 26. 13.  1.  0.]
"облов
",[16.  2. 13. 16.  3.  0.]
"фиска
",[22. 10. 19. 12.  1.  0.]
"гонит
",[ 4. 16. 15. 10. 20.  0.]
"карие
",[12.  1. 18. 10.  6.  0.]
"севку
",[19.  6.  3. 12. 21.  0.]
"лизам
",[13. 10.  9.  1. 14.  0.]
"мечом
",[14.  6. 25. 16. 14.  0.]
"рубаи
",[18. 21.  2.  1. 10.  0.]
"дегтя
",[ 5.  6.  4. 20. 33.  0.]
"увози
",[21.  3. 16.  9. 10.  0.]
"валуя
",[ 3.  1. 13. 21. 33.  0.]
"устои
",[21. 19. 20. 16. 10.  0.]
"влада
",[ 3. 13.  1.  5.  1.  0.]
"карих
",[12.  1. 18. 10. 23.  0.]
"дурье
",[ 5. 21. 18. 28.  6.  0.]
"орать
",[16. 18.  1. 20. 28.  0.]
"ширме
",[26. 10. 18. 14.  6.  0.]
"проще
",[17. 18. 16. 27.  6.  0.]
"зудят
",[ 9. 21.  5. 33. 20.  0.]
"клика
",[12. 13. 10. 12.  1.  0.]
"колол
",[12. 16. 13. 16. 13.  0.]
"стыжу
",[19. 20. 29.  8. 21.  0.]
"зеров
",[ 9.  6. 18. 16.  3.  0.]
"сладу
",[19. 13.  1.  5. 21.  0.]
"звену
",[ 9.  3.  6. 15. 21.  0.]
"дугою
",[ 5. 21.  4. 16. 32.  0.]
"кличи
",[12. 13. 10. 25. 10.  0.]
"карло
",[12.  1. 18. 13. 16.  0.]
"осока
",[16. 19. 16. 12.  1.  0.]
"курка
",[12. 21. 18. 12.  1.  0.]
"елену
",[ 6. 13.  6. 15. 21.  0.]
"непре
",[15.  6. 17. 18.  6.  0.]
"робею
",[18. 16.  2.  6. 32.  0.]
"салют
",[19.  1. 13. 32. 20.  0.]
"счёте
",[19. 25.  7. 20.  6.  0.]
"нижем
",[15. 10.  8.  6. 14.  0.]
"булки
",[ 2. 21. 13. 12. 10.  0.]
"пиная
",[17. 10. 15.  1. 33.  0.]
"зурка
",[ 9. 21. 18. 12.  1.  0.]
"конке
",[12. 16. 15. 12.  6.  0.]
"лютом
",[13. 32. 20. 16. 14.  0.]
"бодов
",[ 2. 16.  5. 16.  3.  0.]
"ядрам
",[33.  5. 18.  1. 14.  0.]
"уличу
",[21. 13. 10. 25. 21.  0.]
"помуч
",[17. 16. 14. 21. 25.  0.]
"бором
",[ 2. 16. 18. 16. 14.  0.]
"заинт
",[ 9.  1. 10. 15. 20.  0.]
"панде
",[17.  1. 15.  5.  6.  0.]
"свиде
",[19.  3. 10.  5.  6.  0.]
"алешу
",[ 1. 13.  6. 26. 21.  0.]
"кукуй
",[12. 21. 12. 21. 11.  0.]
"вошке
",[ 3. 16. 26. 12.  6.  0.]
"гдыню
",[ 4.  5. 29. 15. 32.  0.]
"юношу
",[32. 15. 16. 26. 21.  0.]
"иному
",[10. 15. 16. 14. 21.  0.]
"вощат
",[ 3. 16. 27.  1. 20.  0.]
"нукус
",[15. 21. 12. 21. 19.  0.]
"лемме
",[13.  6. 14. 14.  6.  0.]
"оцени
",[16. 24.  6. 15. 10.  0.]
"июней
",[10. 32. 15.  6. 11.  0.]
"ардал
",[ 1. 18.  5.  1. 13.  0.]
"нашёл
",[15.  1. 26.  7. 13.  0.]
"бобах
",[ 2. 16.  2.  1. 23.  0.]
"случа
",[19. 13. 21. 25.  1.  0.]
"гласы
",[ 4. 13.  1. 19. 29.  0.]
"палач
",[17.  1. 13.  1. 25.  0.]
"дворя
",[ 5.  3. 16. 18. 33.  0.]
"лугов
",[13. 21.  4. 16.  3.  0.]
"выжив
",[ 3. 29.  8. 10.  3.  0.]
"спаях
",[19. 17.  1. 33. 23.  0.]
"куньи
",[12. 21. 15. 28. 10.  0.]
"сарае
",[19.  1. 18.  1.  6.  0.]
"гейше
",[ 4.  6. 11. 26.  6.  0.]
"катод
",[12.  1. 20. 16.  5.  0.]
"линзе
",[13. 10. 15.  9.  6.  0.]
"откуй
",[16. 20. 12. 21. 11.  0.]
"живем
",[ 8. 10.  3.  6. 14.  0.]
"карам
",[12.  1. 18.  1. 14.  0.]
"шерст
",[26.  6. 18. 19. 20.  0.]
"идеек
",[10.  5.  6.  6. 12.  0.]
"вузов
",[ 3. 21.  9. 16.  3.  0.]
"мерок
",[14.  6. 18. 16. 12.  0.]
"каюта
",[12.  1. 32. 20.  1.  0.]
"балду
",[ 2.  1. 13.  5. 21.  0.]
"марай
",[14.  1. 18.  1. 11.  0.]
"хвост
",[23.  3. 16. 19. 20.  0.]
"шести
",[26.  6. 19. 20. 10.  0.]
"лемму
",[13.  6. 14. 14. 21.  0.]
"сжима
",[19.  8. 10. 14.  1.  0.]
"вычла
",[ 3. 29. 25. 13.  1.  0.]
"лётно
",[13.  7. 20. 15. 16.  0.]
"утёсу
",[21. 20.  7. 19. 21.  0.]
"вещью
",[ 3.  6. 27. 28. 32.  0.]
"влаги
",[ 3. 13.  1.  4. 10.  0.]
"трюка
",[20. 18. 32. 12.  1.  0.]
"вклей
",[ 3. 12. 13.  6. 11.  0.]
"форою
",[22. 16. 18. 16. 32.  0.]
"самцы
",[19.  1. 14. 24. 29.  0.]
"фирме
",[22. 10. 18. 14.  6.  0.]
"тимур
",[20. 10. 14. 21. 18.  0.]
"лежка
",[13.  6.  8. 12.  1.  0.]
"шитой
",[26. 10. 20. 16. 11.  0.]
"задав
",[9. 1. 5. 1. 3. 0.]
"киеву
",[12. 10.  6.  3. 21.  0.]
"тупим
",[20. 21. 17. 10. 14.  0.]
"ожить
",[16.  8. 10. 20. 28.  0.]
"части
",[25.  1. 19. 20. 10.  0.]
"ерошь
",[ 6. 18. 16. 26. 28.  0.]
"негде
",[15.  6.  4.  5.  6.  0.]
"мозга
",[14. 16.  9.  4.  1.  0.]
"тимин
",[20. 10. 14. 10. 15.  0.]
"овоще
",[16.  3. 16. 27.  6.  0.]
"михей
",[14. 10. 23.  6. 11.  0.]
"закат
",[ 9.  1. 12.  1. 20.  0.]
"флаге
",[22. 13.  1.  4.  6.  0.]
"стыки
",[19. 20. 29. 12. 10.  0.]
"чтить
",[25. 20. 10. 20. 28.  0.]
"евшая
",[ 6.  3. 26.  1. 33.  0.]
"мифом
",[14. 10. 22. 16. 14.  0.]
"замри
",[ 9.  1. 14. 18. 10.  0.]
"рыбки
",[18. 29.  2. 12. 10.  0.]
"узвар
",[21.  9.  3.  1. 18.  0.]
"вруби
",[ 3. 18. 21.  2. 10.  0.]
"бурдо
",[ 2. 21. 18.  5. 16.  0.]
"зелью
",[ 9.  6. 13. 28. 32.  0.]
"стерв
",[19. 20.  6. 18.  3.  0.]
"спето
",[19. 17.  6. 20. 16.  0.]
"санях
",[19.  1. 15. 33. 23.  0.]
"игори
",[10.  4. 16. 18. 10.  0.]
"свалю
",[19.  3.  1. 13. 32.  0.]
"жучки
",[ 8. 21. 25. 12. 10.  0.]
"начею
",[15.  1. 25.  6. 32.  0.]
"пусть
",[17. 21. 19. 20. 28.  0.]
"якого
",[33. 12. 16.  4. 16.  0.]
"набок
",[15.  1.  2. 16. 12.  0.]
"боялс
",[ 2. 16. 33. 13. 19.  0.]
"некаю
",[15.  6. 12.  1. 32.  0.]
"рицин
",[18. 10. 24. 10. 15.  0.]
"горел
",[ 4. 16. 18.  6. 13.  0.]
"урвем
",[21. 18.  3.  6. 14.  0.]
"приро
",[17. 18. 10. 18. 16.  0.]
"хаяло
",[23.  1. 33. 13. 16.  0.]
"телах
",[20.  6. 13.  1. 23.  0.]
"зобом
",[ 9. 16.  2. 16. 14.  0.]
"гнуть
",[ 4. 15. 21. 20. 28.  0.]
"робой
",[18. 16.  2. 16. 11.  0.]
"гроге
",[ 4. 18. 16.  4.  6.  0.]
"взору
",[ 3.  9. 16. 18. 21.  0.]
"фацет
",[22.  1. 24.  6. 20.  0.]
"пашню
",[17.  1. 26. 15. 32.  0.]
"упоми
",[21. 17. 16. 14. 10.  0.]
"винил
",[ 3. 10. 15. 10. 13.  0.]
"паршу
",[17.  1. 18. 26. 21.  0.]
"галки
",[ 4.  1. 13. 12. 10.  0.]
"увезу
",[21.  3.  6.  9. 21.  0.]
"уроку
",[21. 18. 16. 12. 21.  0.]
"нотис
",[15. 16. 20. 10. 19.  0.]
"хайлу
",[23.  1. 11. 13. 21.  0.]
"наход
",[15.  1. 23. 16.  5.  0.]
"рыбок
",[18. 29.  2. 16. 12.  0.]
"буран
",[ 2. 21. 18.  1. 15.  0.]
"тепле
",[20.  6. 17. 13.  6.  0.]
"лоска
",[13. 16. 19. 12.  1.  0.]
"офень
",[16. 22.  6. 15. 28.  0.]
"куток
",[12. 21. 20. 16. 12.  0.]
"канту
",[12.  1. 15. 20. 21.  0.]
"сдана
",[19.  5.  1. 15.  1.  0.]
"отбей
",[16. 20.  2.  6. 11.  0.]
"делах
",[ 5.  6. 13.  1. 23.  0.]
"рейна
",[18.  6. 11. 15.  1.  0.]
"сайда
",[19.  1. 11.  5.  1.  0.]
"сняли
",[19. 15. 33. 13. 10.  0.]
"сытом
",[19. 29. 20. 16. 14.  0.]
"бабою
",[ 2.  1.  2. 16. 32.  0.]
"груне
",[ 4. 18. 21. 15.  6.  0.]
"зубом
",[ 9. 21.  2. 16. 14.  0.]
"ветвь
",[ 3.  6. 20.  3. 28.  0.]
"розан
",[18. 16.  9.  1. 15.  0.]
"шляпе
",[26. 13. 33. 17.  6.  0.]
"буяня
",[ 2. 21. 33. 15. 33.  0.]
"клюёт
",[12. 13. 32.  7. 20.  0.]
"злить
",[ 9. 13. 10. 20. 28.  0.]
"прошу
",[17. 18. 16. 26. 21.  0.]
"груму
",[ 4. 18. 21. 14. 21.  0.]
"слали
",[19. 13.  1. 13. 10.  0.]
"кошах
",[12. 16. 26.  1. 23.  0.]
"драгу
",[ 5. 18.  1.  4. 21.  0.]
"лицею
",[13. 10. 24.  6. 32.  0.]
"мопса
",[14. 16. 17. 19.  1.  0.]
"нарек
",[15.  1. 18.  6. 12.  0.]
"орлец
",[16. 18. 13.  6. 24.  0.]
"съёма
",[19. 30.  7. 14.  1.  0.]
"когте
",[12. 16.  4. 20.  6.  0.]
"алчно
",[ 1. 13. 25. 15. 16.  0.]
"реалу
",[18.  6.  1. 13. 21.  0.]
"вмажь
",[ 3. 14.  1.  8. 28.  0.]
"бучей
",[ 2. 21. 25.  6. 11.  0.]
"гнёшь
",[ 4. 15.  7. 26. 28.  0.]
"значь
",[ 9. 15.  1. 25. 28.  0.]
"лужки
",[13. 21.  8. 12. 10.  0.]
"пробу
",[17. 18. 16.  2. 21.  0.]
"форма
",[22. 16. 18. 14.  1.  0.]
"желая
",[ 8.  6. 13.  1. 33.  0.]
"флейц
",[22. 13.  6. 11. 24.  0.]
"уткам
",[21. 20. 12.  1. 14.  0.]
"серел
",[19.  6. 18.  6. 13.  0.]
"шабаш
",[26.  1.  2.  1. 26.  0.]
"почив
",[17. 16. 25. 10.  3.  0.]
"очный
",[16. 25. 15. 29. 11.  0.]
"ливре
",[13. 10.  3. 18.  6.  0.]
"пошат
",[17. 16. 26.  1. 20.  0.]
"ямину
",[33. 14. 10. 15. 21.  0.]
"лисов
",[13. 10. 19. 16.  3.  0.]
"триер
",[20. 18. 10.  6. 18.  0.]
"плывя
",[17. 13. 29.  3. 33.  0.]
"впущу
",[ 3. 17. 21. 27. 21.  0.]
"охает
",[16. 23.  1.  6. 20.  0.]
"гудку
",[ 4. 21.  5. 12. 21.  0.]
"борее
",[ 2. 16. 18.  6.  6.  0.]
"агате
",[ 1.  4.  1. 20.  6.  0.]
"генту
",[ 4.  6. 15. 20. 21.  0.]
"бурые
",[ 2. 21. 18. 29.  6.  0.]
"сгону
",[19.  4. 16. 15. 21.  0.]
"тютям
",[20. 32. 20. 33. 14.  0.]
"фотку
",[22. 16. 20. 12. 21.  0.]
"князе
",[12. 15. 33.  9.  6.  0.]
"бронь
",[ 2. 18. 16. 15. 28.  0.]
"перун
",[17.  6. 18. 21. 15.  0.]
"свояк
",[19.  3. 16. 33. 12.  0.]
"дотри
",[ 5. 16. 20. 18. 10.  0.]
"зетом
",[ 9.  6. 20. 16. 14.  0.]
"сычах
",[19. 29. 25.  1. 23.  0.]
"пудра
",[17. 21.  5. 18.  1.  0.]
"нищею
",[15. 10. 27.  6. 32.  0.]
"тугие
",[20. 21.  4. 10.  6.  0.]
"обком
",[16.  2. 12. 16. 14.  0.]
"будок
",[ 2. 21.  5. 16. 12.  0.]
"самим
",[19.  1. 14. 10. 14.  0.]
"щёчка
",[27.  7. 25. 12.  1.  0.]
"робят
",[18. 16.  2. 33. 20.  0.]
"небес
",[15.  6.  2.  6. 19.  0.]
"сжуем
",[19.  8. 21.  6. 14.  0.]
"сырце
",[19. 29. 18. 24.  6.  0.]
"жахну
",[ 8.  1. 23. 15. 21.  0.]
"копай
",[12. 16. 17.  1. 11.  0.]
"магам
",[14.  1.  4.  1. 14.  0.]
"лешее
",[13.  6. 26.  6.  6.  0.]
"ябеды
",[33.  2.  6.  5. 29.  0.]
"зебру
",[ 9.  6.  2. 18. 21.  0.]
"ильме
",[10. 13. 28. 14.  6.  0.]
"учтет
",[21. 25. 20.  6. 20.  0.]
"ксюши
",[12. 19. 32. 26. 10.  0.]
"позем
",[17. 16.  9.  6. 14.  0.]
"слоям
",[19. 13. 16. 33. 14.  0.]
"нянчи
",[15. 33. 15. 25. 10.  0.]
"гомон
",[ 4. 16. 14. 16. 15.  0.]
"щелчк
",[27.  6. 13. 25. 12.  0.]
"возмо
",[ 3. 16.  9. 14. 16.  0.]
"немки
",[15.  6. 14. 12. 10.  0.]
"вьёте
",[ 3. 28.  7. 20.  6.  0.]
"гагат
",[ 4.  1.  4.  1. 20.  0.]
"ганзу
",[ 4.  1. 15.  9. 21.  0.]
"бурум
",[ 2. 21. 18. 21. 14.  0.]
"бубну
",[ 2. 21.  2. 15. 21.  0.]
"угодь
",[21.  4. 16.  5. 28.  0.]
"мимам
",[14. 10. 14.  1. 14.  0.]
"злаки
",[ 9. 13.  1. 12. 10.  0.]
"навыв
",[15.  1.  3. 29.  3.  0.]
"алене
",[ 1. 13.  6. 15.  6.  0.]
"ткань
",[20. 12.  1. 15. 28.  0.]
